Number,File 1,File 2,File 3
103762,UMMZ-Mammals-103762-IMG000998.jpg,,
111092,UMMZ-Mammals-111092-IMG001352.jpg,UMMZ-Mammals-111092-IMG003422.jpg,UMMZ-Mammals-111092-IMG004667.jpg
156623,UMMZ-Mammals-156623-IMG001436.jpg,,
99783,UMMZ-Mammals-99783-IMG002519.jpg,,
